UPE | Compare Intel® Products
08/29/2022 06:13:59 PM
,

Essentials
Product Collection,Intel® Celeron® Processor N Series
Code Name,Products formerly Jasper Lake
Vertical Segment,Mobile
Processor Number,N5105
Status,Launched
Launch Date,Q1'21
Lithography,10 nm
Use Conditions,PC/Client/Tablet

CPU Specifications
Total Cores,4
Total Threads,4
Burst Frequency,2.90 GHz
Processor Base Frequency,2.00 GHz
Cache,4 MB L3 Cache
TDP,10 W

Supplemental Information
Embedded Options Available,No

Memory Specifications
Max Memory Size (dependent on memory type),16 GB
Memory Types,DDR4 LPDDR4x
Maximum Memory Speed,2933 MHz
Max # of Memory Channels,2
ECC Memory Supported   ‡,No

Processor Graphics
Processor Graphics ‡,Intel® UHD Graphics
Graphics Base Frequency,450 MHz
Graphics Burst Frequency,800 MHz
Graphics Output,eDP/DP/HDMI/MIPI-DSI
Execution Units,24
4K Support,Yes |  at 60Hz
Max Resolution (HDMI)‡,4096x2160@60Hz
Max Resolution (DP)‡,4096x2160@60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,4096x2160@60Hz
DirectX* Support,12
OpenGL* Support,4.5
OpenCL* Support,1.2
Intel® Quick Sync Video,Yes
# of Displays Supported ‡,3
Device ID,0x4E61

Expansion Options
Chipset / PCH PCIe Revision,Gen 3
Max # of PCI Express Lanes,8

I/O Specifications
# of USB Ports,14
USB Revision,2.0/3.2
Integrated LAN,No
Integrated Wireless‡,Intel® Wireless-AX MAC
General Purpose IO,Yes
UART,Yes
Max # of SATA 6.0 Gb/s Ports,2

Package Specifications
Sockets Supported,FCBGA1338
Max CPU Configuration,1
TJUNCTION,105°C
Package Size,35mm x 24mm

Advanced Technologies
Intel® Gaussian & Neural Accelerator,2.0
Intel® Image Processing Unit,6.0
Intel® Smart Sound Technology,Yes
Intel® Wake on Voice,Yes
Intel® High Definition Audio,Yes
Intel® Optane™ Memory Supported ‡,No
Intel® Speed Shift Technology,Yes
Intel® Turbo Boost Max Technology 3.0 ‡,No
Intel® Turbo Boost Technology ‡,No
Intel® Hyper-Threading Technology ‡,No
Intel® 64 ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.2
Idle States,Yes
Enhanced Intel SpeedStep® Technology,Yes
Thermal Monitoring Technologies,Yes
Intel® Identity Protection Technology ‡,Yes
Intel® Smart Response Technology,No

Security & Reliability
Intel vPro® Platform Eligibility ‡,No
Intel® AES New Instructions,Yes
Intel® Software Guard Extensions (Intel® SGX),No
Intel® Trusted Execution Technology ‡,No
Intel® OS Guard,Yes
Intel® Boot Guard,Yes
Mode-based Execute Control (MBEC),Yes
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
